id,valence,om2,ze
6655877,sensory,-1.33846,0.444608
6659520,sensory,-0.957905,1.20411
6655663,sensory,-1.75091,0.152842
6669785,sensory,-0.0265094,-0.225305
6675337,sensory,-0.760391,0.783674
6686628,sensory,0.104172,0.393448
6685809,sensory,-2.56369,0.247196
6685638,sensory,-0.565065,0.538096
6688364,sensory,-0.151723,0.38829
6687167,sensory,-3.52962,0.472885
6691339,sensory,-2.47388,0.537086
6691827,sensory,0.43426,0.337967
6696588,sensory,-0.47054,0.0732128
6712485,sensory,-1.51619,-0.311805
6706234,sensory,-0.951647,0.760953
6734994,sensory,-3.8685,-0.450434
6724237,sensory,-0.455796,0.0192028
6756843,sensory,-0.338646,0.175422
6779505,sensory,-2.22199,0.997275
6783129,sensory,0.266484,0.493557
6787638,sensory,-0.588831,-0.653991
6794870,sensory,0.42904,-0.151578
6802885,sensory,-1.09157,0.603994
6795746,sensory,0.198371,-0.620174
6784869,sensory,-0.810849,0.576543
6806917,sensory,0.0359196,-0.0372699
6825085,sensory,-0.989419,0.0290155
6825065,sensory,0.335248,0.0683252
6807419,sensory,-6.06602,0.395274
6830576,sensory,-0.158654,-0.119378
6832313,sensory,0.148645,0.0186472
6832538,sensory,0.291531,0.258853
6832755,sensory,-0.749093,0.241411
6833487,sensory,-0.481488,0.088383
6833552,sensory,-2.5792,-0.532696
6833688,sensory,-0.439905,0.681347
6833708,sensory,-0.679274,0.282551
6833601,sensory,-4.59768,0.291867
6835949,sensory,0.0398353,0.412549
6837126,sensory,-0.646559,-0.00135456
6837614,sensory,-0.655601,0.489993
6837765,sensory,0.328061,0.253632
6846807,sensory,-3.01772,-0.447944
6847162,sensory,-1.93533,1.66665
6839330,sensory,-7.26507,1.78279
6843583,sensory,-3.86985,2.08691
6862266,sensory,-6.1624,-0.395112
6844656,sensory,0.314823,0.0216
7197136,sensory,0.0103973,0.591603
7197527,sensory,-6.75765,-0.447011
7197593,sensory,-1.34833,0.0871903
7198155,sensory,-5.47029,0.109806
7198256,sensory,0.346363,0.0706593
7198530,sensory,-0.156689,-0.224467
7199038,sensory,0.520009,0.535919
7198639,sensory,-5.04604,0.354008
7199832,sensory,0.226425,-0.20225
7206588,sensory,-1.17476,0.144984
7203963,sensory,0.0262543,-0.772724
7204678,sensory,0.191457,0.601187
7201693,sensory,-0.665015,0.541234
6474429,aversive,-4.16638,1.49171
6474917,aversive,-7.34274,0.318463
6476784,aversive,0.202233,0.160723
6492457,aversive,0.200283,0.383164
6492475,aversive,-7.21538,0.528858
6493003,aversive,0.43403,0.21897
6494205,aversive,-6.67374,0.0128148
6494475,aversive,0.329284,-0.52151
6497513,aversive,-0.120681,-0.128233
6498513,aversive,0.120687,0.705067
6503800,aversive,-0.799439,-0.236001
6504585,aversive,-6.23943,-0.0897167
6505746,aversive,0.211096,-0.159236
6505729,aversive,-0.158837,-0.324328
6509988,aversive,0.0894416,0.0449091
6505230,aversive,-4.69624,0.118852
6507041,aversive,0.241142,-0.31397
6505365,aversive,0.256085,-0.022063
6504279,aversive,-3.71378,-0.44971
6512524,aversive,-6.6111,0.246845
6508206,aversive,-6.97657,0.950098
6504855,aversive,0.422792,-0.448241
6505835,aversive,-1.95605,0.540746
6509897,aversive,-1.79571,0.00459862
6506184,aversive,-0.186569,-0.0540214
6512874,aversive,-0.133034,-0.0493895
6513721,aversive,-2.68904,-0.257639
6529776,aversive,0.446359,0.23343
6530209,aversive,-0.340598,-0.85838
6515174,aversive,0.322306,-0.597112
6513693,aversive,-1.63206,1.02418
6518079,aversive,0.0207932,-0.508265
6514151,aversive,0.417408,0.176781
6528789,aversive,-5.87502,-0.0700815
6520876,aversive,-1.88769,0.923284
6532445,aversive,-3.21493,0.714021
6524129,aversive,0.34329,-0.365873
6517996,aversive,-0.287463,-0.0448416
6518101,aversive,0.431214,-0.00307133
6538937,aversive,0.10939,0.281572
6528953,aversive,-0.517867,0.756054
6552578,aversive,0.263298,-0.490418
6539301,aversive,-0.445529,-0.270993
6542432,aversive,-0.288225,0.00636429
6555809,aversive,-0.884091,0.106884
6536865,aversive,0.323248,0.497663
6547715,aversive,-6.92407,-0.0259715
6541846,aversive,0.173419,-0.112071
6587402,aversive,-4.86454,-0.382566
6572629,aversive,-1.07365,-0.899097
6579202,aversive,-4.58514,0.614794
6609370,aversive,0.126878,0.661627
6583341,aversive,-6.22099,0.109472
6617254,aversive,0.40939,1.15573
6612952,aversive,-7.35058,0.312993
6609207,aversive,-0.443888,-0.258819
6634220,aversive,0.368606,-0.092342
6634241,aversive,-1.64504,1.49747
6614490,aversive,-0.734483,0.714405
6630778,aversive,-2.31494,0.834016
6609771,aversive,-0.259855,-0.00758972
6631556,aversive,-5.30422,-0.452455
6634245,aversive,-6.00296,-0.210032
6662032,aversive,-7.33309,0.118739
6654228,aversive,-6.17679,-0.0675695
6655877,aversive,-0.0413515,-0.262429
6655663,aversive,0.178211,0.113233
6669785,aversive,-0.246748,-0.178582
6675337,aversive,-2.15432,1.24183
6687167,aversive,-4.76027,1.10003
6691339,aversive,-0.502801,0.00904026
6688364,aversive,0.44958,-0.397685
6685809,aversive,-0.306354,-0.0407629
6696588,aversive,-0.161196,-0.125739
6712485,aversive,-0.244726,-0.0112594
6706234,aversive,-0.848958,0.994236
6734994,aversive,0.50276,-0.199127
6756843,aversive,-0.883372,0.162128
6783484,aversive,-1.18443,0.360385
6783129,aversive,0.196058,-0.12301
6787638,aversive,-7.80174,1.02244
6779505,aversive,-1.76707,0.822177
6794870,aversive,-7.01174,0.0891746
6784869,aversive,-0.14539,0.17795
6795746,aversive,0.0985788,-0.424365
6806917,aversive,-5.41321,0.194535
6825085,aversive,-0.875578,0.240279
6825065,aversive,-7.58129,0.618271
6807419,aversive,-1.78778,0.49227
6830576,aversive,-0.488676,0.320796
6832313,aversive,0.0802427,-0.354117
6832538,aversive,0.332478,-0.0170318
6832755,aversive,-6.60248,0.00240767
6833487,aversive,-0.135194,0.187956
6833552,aversive,-5.29074,-0.400956
6833688,aversive,0.16464,-0.0550145
6833601,aversive,-7.82842,0.146336
6834861,aversive,-4.14397,0.313497
6835949,aversive,-2.53992,-0.0527033
6837126,aversive,-2.29859,0.161981
6837614,aversive,-0.700312,0.526001
6847162,aversive,-4.34667,1.56713
6839806,aversive,0.302951,-0.0625609
6853410,aversive,-6.20785,0.0823413
